amfi_code,scheme_name,nav_date,nav
119092,Axis_Bluechip,2022-01-03,38.7466
119092,Axis_Bluechip,2022-01-04,38.4924
119092,Axis_Bluechip,2022-01-05,38.2033
119092,Axis_Bluechip,2022-01-06,38.5825
119092,Axis_Bluechip,2022-01-07,38.9425
119092,Axis_Bluechip,2022-01-10,38.5546
119092,Axis_Bluechip,2022-01-11,38.3941
119092,Axis_Bluechip,2022-01-12,38.9905
119092,Axis_Bluechip,2022-01-13,39.1525
119092,Axis_Bluechip,2022-01-14,39.4456
119092,Axis_Bluechip,2022-01-17,39.0646
119092,Axis_Bluechip,2022-01-18,39.3117
119092,Axis_Bluechip,2022-01-19,38.8427
119092,Axis_Bluechip,2022-01-20,38.19
119092,Axis_Bluechip,2022-01-21,38.4555
119092,Axis_Bluechip,2022-01-24,38.9651
119092,Axis_Bluechip,2022-01-25,38.8981
119092,Axis_Bluechip,2022-01-26,38.731
119092,Axis_Bluechip,2022-01-27,39.3401
119092,Axis_Bluechip,2022-01-28,39.2929
119092,Axis_Bluechip,2022-01-31,39.2903
119092,Axis_Bluechip,2022-02-01,39.9023
119092,Axis_Bluechip,2022-02-02,39.7986
119092,Axis_Bluechip,2022-02-03,39.5901
119092,Axis_Bluechip,2022-02-04,39.8964
119092,Axis_Bluechip,2022-02-07,39.6672
119092,Axis_Bluechip,2022-02-08,39.6371
119092,Axis_Bluechip,2022-02-09,39.1989
119092,Axis_Bluechip,2022-02-10,39.2833
119092,Axis_Bluechip,2022-02-11,39.3271
119092,Axis_Bluechip,2022-02-14,39.6848
119092,Axis_Bluechip,2022-02-15,40.0066
119092,Axis_Bluechip,2022-02-16,40.2224
119092,Axis_Bluechip,2022-02-17,40.3833
119092,Axis_Bluechip,2022-02-18,40.3781
119092,Axis_Bluechip,2022-02-21,40.6167
119092,Axis_Bluechip,2022-02-22,40.2409
119092,Axis_Bluechip,2022-02-23,39.4362
119092,Axis_Bluechip,2022-02-24,39.863
119092,Axis_Bluechip,2022-02-25,40.1214
119092,Axis_Bluechip,2022-02-28,40.0971
119092,Axis_Bluechip,2022-03-01,40.4998
119092,Axis_Bluechip,2022-03-02,40.2601
119092,Axis_Bluechip,2022-03-03,40.0311
119092,Axis_Bluechip,2022-03-04,39.7547
119092,Axis_Bluechip,2022-03-07,39.9748
119092,Axis_Bluechip,2022-03-08,39.4409
119092,Axis_Bluechip,2022-03-09,39.1953
119092,Axis_Bluechip,2022-03-10,39.3158
119092,Axis_Bluechip,2022-03-11,38.9206
119092,Axis_Bluechip,2022-03-14,38.7146
119092,Axis_Bluechip,2022-03-15,37.9864
119092,Axis_Bluechip,2022-03-16,38.2096
119092,Axis_Bluechip,2022-03-17,37.9981
119092,Axis_Bluechip,2022-03-18,37.6509
119092,Axis_Bluechip,2022-03-21,37.2426
119092,Axis_Bluechip,2022-03-22,37.1246
119092,Axis_Bluechip,2022-03-23,36.6297
119092,Axis_Bluechip,2022-03-24,37.2818
119092,Axis_Bluechip,2022-03-25,36.5248
119092,Axis_Bluechip,2022-03-28,36.3987
119092,Axis_Bluechip,2022-03-29,36.4518
119092,Axis_Bluechip,2022-03-30,36.2221
119092,Axis_Bluechip,2022-03-31,36.3086
119092,Axis_Bluechip,2022-04-01,36.0721
119092,Axis_Bluechip,2022-04-04,36.581
119092,Axis_Bluechip,2022-04-05,36.2405
119092,Axis_Bluechip,2022-04-06,35.5151
119092,Axis_Bluechip,2022-04-07,35.1288
119092,Axis_Bluechip,2022-04-08,35.267
119092,Axis_Bluechip,2022-04-11,35.2485
119092,Axis_Bluechip,2022-04-12,35.5014
119092,Axis_Bluechip,2022-04-13,35.6772
119092,Axis_Bluechip,2022-04-14,35.4959
119092,Axis_Bluechip,2022-04-15,35.3613
119092,Axis_Bluechip,2022-04-18,35.2596
